PLAYER_ID,SEASON,PROFILE_LABEL
1641754,2023-24,AverageRookie
1641723,2023-24,LotteryRookie
1631243,2023-24,AverageRookie
1641809,2023-24,AverageJoe
1641775,2023-24,AverageRookie
1631250,2023-24,AverageJoe
1641854,2023-24,AverageJoe
1641734,2023-24,AverageRookie
1641722,2023-24,LotteryRookie
1630792,2023-24,AverageJoe
1641847,2023-24,AverageJoe
1641763,2023-24,AverageRookie
1641931,2023-24,AverageJoe
1641766,2023-24,AverageJoe
1630929,2023-24,AverageJoe
203957,2023-24,AverageJoe
1630314,2023-24,AverageJoe
1641726,2023-24,LotteryRookie
1641788,2023-24,AverageJoe
1641765,2023-24,AverageRookie
1630535,2023-24,AverageJoe
1631124,2023-24,AverageRookie
1641816,2023-24,AverageRookie
1630296,2023-24,AverageJoe
1629618,2023-24,AverageRookie
1641764,2023-24,AverageRookie
1630611,2023-24,AverageJoe
1629010,2023-24,AverageJoe
1631218,2023-24,AverageRookie
1630311,2023-24,AverageJoe
1631257,2023-24,AverageJoe
1641708,2023-24,LotteryRookie
1641715,2023-24,AverageRookie
1630207,2023-24,AverageJoe
1641757,2023-24,AverageRookie
1641738,2023-24,AverageRookie
1641720,2023-24,AverageRookie
1630219,2023-24,AverageJoe
1630658,2023-24,AverageJoe
1628385,2023-24,AverageJoe
1641721,2023-24,AverageRookie
1631170,2023-24,AverageRookie
1631214,2023-24,AverageJoe
1641945,2023-24,AverageJoe
1641753,2023-24,AverageRookie
1641748,2023-24,AverageRookie
1641740,2023-24,AverageRookie
1631159,2023-24,AverageRookie
1641727,2023-24,AverageRookie
1641798,2023-24,AverageJoe
1641730,2023-24,AverageRookie
1630592,2023-24,AverageRookie
1631210,2023-24,AverageJoe
1629718,2023-24,AverageJoe
1641710,2023-24,LotteryRookie
1630243,2023-24,AverageJoe
1641724,2023-24,LotteryRookie
1641716,2023-24,LotteryRookie
1631209,2023-24,AverageRookie
1641767,2023-24,AverageRookie
1631131,2023-24,AverageJoe
1641741,2023-24,AverageJoe
1631173,2023-24,AverageJoe
202738,2023-24,AverageJoe
1630703,2023-24,Top3Rookie
1631200,2023-24,AverageRookie
1629650,2023-24,AverageJoe
1630204,2023-24,AverageJoe
1631303,2023-24,AverageJoe
1641871,2023-24,AverageJoe
1641739,2023-24,AverageRookie
1641712,2023-24,AverageRookie
1628426,2023-24,AverageJoe
1630222,2023-24,AverageJoe
1641771,2023-24,AverageRookie
1641732,2023-24,AverageRookie
1630259,2023-24,AverageJoe
1641705,2023-24,Top3Rookie
1631123,2023-24,AverageJoe
1631321,2023-24,AverageRookie
1641745,2023-24,AverageJoe
1641749,2023-24,AverageRookie
1641717,2023-24,LotteryRookie
1642013,2023-24,AverageJoe
1631241,2023-24,AverageJoe
1641711,2023-24,LotteryRookie
1630618,2023-24,AverageJoe
1631338,2023-24,AverageJoe
1641707,2023-24,LotteryRookie
1641718,2023-24,LotteryRookie
1641729,2023-24,AverageRookie
1641713,2023-24,AverageRookie
1641998,2023-24,AverageJoe
1641731,2023-24,LotteryRookie
1641774,2023-24,AverageRookie
1631262,2023-24,AverageJoe
1641709,2023-24,LotteryRookie
1630649,2023-24,AverageJoe
1641787,2023-24,AverageJoe
1631204,2023-24,AverageRookie
1628970,2023-24,AverageJoe
1641733,2023-24,AverageRookie
1641735,2023-24,AverageRookie
1629716,2023-24,AverageJoe
1641778,2023-24,AverageJoe
203995,2023-24,AverageJoe
1641706,2023-24,Top3Rookie
