PROFILE_LABEL,AST,TOV,PTS,MIN,GP,STL,REB
AverageJoe,27.34453781512605,14.172268907563025,109.50420168067227,285.744943977591,20.071428571428573,9.441176470588236,50.19747899159664
AverageRookie,50.85635359116022,29.734806629834253,224.75138121546962,600.6825874769797,37.729281767955804,18.607734806629836,102.95580110497238
LotteryRookie,115.546875,71.5,527.75,1307.3595572916668,58.5,39.0,229.859375
Top3Rookie,195.64285714285714,144.14285714285714,1007.4285714285714,1901.5902380952382,65.28571428571429,56.285714285714285,366.07142857142856
